idx,db_id,question,gold_query,generated_raw,extracted_sql,score,reason
0,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT Singer_ID) FROM singer,SELECT COUNT(DISTINCT Singer_ID) FROM singer,1.0,Resultados idênticos (ordered=False).
1,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT Singer_ID) FROM singer_in_concert,SELECT COUNT(DISTINCT Singer_ID) FROM singer_in_concert,0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=1 linhas."
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",1.0,Resultados idênticos (ordered=True).
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT S.Name, S.Country, S.Age FROM singer AS S ORDER BY S.Age DESC","SELECT S.Name, S.Country, S.Age FROM singer AS S ORDER BY S.Age DESC",1.0,Resultados idênticos (ordered=True).
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",1.0,Resultados idênticos (ordered=False).
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France'",1.0,Resultados idênticos (ordered=False).
6,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T2.Name, T2.Song_release_year FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Age = (SELECT MIN(Age) FROM singer)","SELECT T2.Name, T2.Song_release_year FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Age = (SELECT MIN(Age) FROM singer)",0.0,"Resultados divergentes (ordered=True). gold=1 linhas, pred=2 linhas."
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T3.Song_Name, T3.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T4 ON T2.concert_ID = T4.concert_ID JOIN stadium AS T5 ON T5.Stadium_ID = T4.Stadium_ID WHERE T1.Age = (SELECT MIN(Age) FROM singer)","SELECT T3.Song_Name, T3.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T4 ON T2.concert_ID = T4.concert_ID JOIN stadium AS T5 ON T5.Stadium_ID = T4.Stadium_ID WHERE T1.Age = (SELECT MIN(Age) FROM singer)",0.0,Falha ao executar a consulta gerada: no such column: T3.Song_Name
8,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 20,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 20,0.0,"Resultados divergentes (ordered=False). gold=3 linhas, pred=2 linhas."
9,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 20,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 20,0.0,"Resultados divergentes (ordered=False). gold=3 linhas, pred=2 linhas."
