idx,db_id,question,gold_query,generated_raw,extracted_sql,score,reason
0,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,1.0,Resultados idênticos (ordered=False).
1,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,SELECT count(*) FROM singer,1.0,Resultados idênticos (ordered=False).
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name ,  Country ,  Age FROM singer ORDER BY Age DESC","SELECT Name ,  Country ,  Age FROM singer ORDER BY Age DESC",1.0,Resultados idênticos (ordered=True).
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",1.0,Resultados idênticos (ordered=True).
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",1.0,Resultados idênticos (ordered=False).
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",1.0,Resultados idênticos (ordered=False).
6,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T2.Song_Name ,  T2.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T3 ON T1.Singer_ID  =  T3.Singer_ID JOIN concert AS T4 ON T3.concert_ID  =  T4.concert_ID JOIN stadium AS T5 ON T4.Stadium_ID  =  T5.Stadium_ID WHERE T1.Age  =  ( SELECT min(Age) FROM singer ) ORDER BY T2.Song_release_year DESC LIMIT 1","SELECT T2.Song_Name ,  T2.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T3 ON T1.Singer_ID  =  T3.Singer_ID JOIN concert AS T4 ON T3.concert_ID  =  T4.concert_ID JOIN stadium AS T5 ON T4.Stadium_ID  =  T5.Stadium_ID WHERE T1.Age  =  ( SELECT min(Age) FROM singer ) ORDER BY T2.Song_release_year DESC LIMIT 1",0.0,Falha ao executar a consulta gerada: no such column: T2.Song_Name
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name ,  song_release_year FROM singer WHERE age  =  ( SELECT min(age) FROM singer )","SELECT song_name ,  song_release_year FROM singer WHERE age  =  ( SELECT min(age) FROM singer )",1.0,Resultados idênticos (ordered=True).
8,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,1.0,Resultados idênticos (ordered=False).
9,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT Country FROM singer WHERE Age  >  20,SELECT DISTINCT Country FROM singer WHERE Age  >  20,1.0,Resultados idênticos (ordered=False).
10,concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT Country ,  COUNT(*) FROM singer GROUP BY Country","SELECT Country ,  COUNT(*) FROM singer GROUP BY Country",1.0,Resultados idênticos (ordered=False).
11,concert_singer,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT COUNT(*) ,  Country FROM singer GROUP BY Country","SELECT COUNT(*) ,  Country FROM singer GROUP BY Country",0.0,"Resultados divergentes (ordered=False). gold=3 linhas, pred=3 linhas."
12,concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT Song_Name FROM singer WHERE Age  >  (SELECT Average FROM stadium),SELECT Song_Name FROM singer WHERE Age  >  (SELECT Average FROM stadium),0.0,"Resultados divergentes (ordered=False). gold=3 linhas, pred=0 linhas."
13,concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT Song_Name FROM singer WHERE Age  >  (SELECT Average FROM stadium),SELECT Song_Name FROM singer WHERE Age  >  (SELECT Average FROM stadium),0.0,"Resultados divergentes (ordered=False). gold=3 linhas, pred=0 linhas."
14,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  NAME FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  NAME FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0,Resultados idênticos (ordered=False).
15,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0,Resultados idênticos (ordered=False).
16,concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT max(capacity) ,  avg(average) FROM stadium","SELECT max(capacity) ,  avg(average) FROM stadium",0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=1 linhas."
17,concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT avg(capacity) ,  max(capacity) FROM stadium","SELECT avg(capacity) ,  max(capacity) FROM stadium",1.0,Resultados idênticos (ordered=False).
18,concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name ,  capacity FROM stadium WHERE average  =  ( SELECT MAX ( average ) FROM stadium )","SELECT name ,  capacity FROM stadium WHERE average  =  ( SELECT MAX ( average ) FROM stadium )",1.0,Resultados idênticos (ordered=True).
19,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name ,  capacity FROM stadium WHERE average  =  ( SELECT MAX ( average ) FROM stadium )","SELECT name ,  capacity FROM stadium WHERE average  =  ( SELECT MAX ( average ) FROM stadium )",1.0,Resultados idênticos (ordered=True).
20,concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,1.0,Resultados idênticos (ordered=False).
21,concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,1.0,Resultados idênticos (ordered=False).
22,concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT T2.name ,  COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT T2.name ,  COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",1.0,Resultados idênticos (ordered=False).
